id,TIME_SERVER,TIME_GPS,LATITUDE,N_S,LONGITUDE,E_W,LAT_DEC,LON_DEC,HUMIDITY,BAROMETER,AIR_TEMPERATURE,WIND_SPEED_REL,WIND_SPEED_TRUE,WIND_DIR_REL,WIND_DIR_TRUE,PAR,TSG_COND,TSG_SALINITY,TSG_TEMP,TSG_TEMP_HULL,HEADING,DOPPLER_GROUND_LON,LON_GROUND_VALID,DOPPLER_GROUND_TRV,DOPPLER_WATER_LON,LON_WATER_VALID,DOPPLER_WATER_TRV,GPS_COG_TRUE,GPS_COG_MAGNETIC,GPS_SOG_KNOTS,GPS_SOG_KMH,NAV_SOUNDER_DEPTH,NAV_SOUNDER_OFFSET
1,2022/07/11 22:19,22:19:58,33 54.209,S,018 26.180,E,-33.90348,18.43633,88,1.021,11.8,5.7,2.1,352.1,268.1,0,0.04288,0.2372,18.6141,23.8413,19.7,3.7,A,0,3.7,A,0,19.6,45.1,3.7,6.8,0,0
2,2022/07/11 22:20,22:20:15,33 54.192,S,018 26.187,E,-33.9032,18.43645,88,1.021,11.8,6.4,2.5,85.9,23,0,0.04288,0.2372,18.6129,23.8415,18.3,3.8,A,0,3.8,A,0,18.4,43.8,3.9,7.1,0,0
3,2022/07/11 22:21,22:21:15,33 54.130,S,018 26.211,E,-33.90217,18.43685,88,1.021,11.8,7.1,3.1,14,35.4,0,0.04287,0.2372,18.6107,23.8418,14.2,4.1,A,0,4.1,A,0,14.3,39.7,4.1,7.6,0,0
4,2022/07/11 22:22,22:22:15,33 54.064,S,018 26.231,E,-33.90107,18.43718,88,1.021,11.8,6.3,2,13,49.9,0,0.04287,0.2372,18.6087,23.8422,15.5,4.7,A,0,4.7,A,0,13.9,39.3,4.7,8.6,0,0
5,2022/07/11 22:23,22:23:15,33 53.985,S,018 26.255,E,-33.89975,18.43758,88,1.021,11.8,6.7,1.9,22.3,72.2,0,0.04286,0.2372,18.6048,23.8432,22.4,5.6,A,0,5.6,A,0,11.1,36.5,5.6,10.4,0,0
6,2022/07/11 22:24,22:24:15,33 53.890,S,018 26.275,E,-33.89817,18.43792,88,1.021,11.8,8.2,3.1,23.6,61.5,0,0.04286,0.2373,18.5896,23.8426,351.4,6.6,A,0,6.6,A,0,277.5,21,6.6,12.2,0,0
7,2022/07/11 22:25,22:25:15,33 53.779,S,018 26.260,E,-33.89632,18.43767,88,1.021,11.9,9.8,3.9,21.1,48.8,0,0.04286,0.2373,18.5705,23.8436,345.2,7.5,A,0,7.5,A,0,346.4,11.8,7.5,13.8,0,0
8,2022/07/11 22:26,22:26:15,33 53.656,S,018 26.224,E,-33.89427,18.43707,88,1.021,11.9,10.6,4.3,19.7,44.9,0,0.04286,0.2374,18.5609,23.8466,344.8,7.9,A,0,7.9,A,0,344.4,9.9,7.9,14.6,0,0
9,2022/07/11 22:27,22:27:15,33 53.529,S,018 26.181,E,-33.89215,18.43635,88,1.021,11.9,10.4,5.3,29.6,63.5,0,0.04287,0.2375,18.5562,23.8499,345.2,8.1,A,0,8.1,A,0,344.2,9.6,8.1,15.1,0,0
10,2022/07/11 22:28,22:28:15,33 53.397,S,018 26.137,E,-33.88995,18.43562,88,1.021,11.9,9.5,5.2,30.3,80.9,0,0.04291,0.2376,18.5733,23.8519,345.3,8.8,A,0,8.8,A,0,344.2,9.7,8.8,16.4,0,0
