timestamp_ms,frame,marker_id,cx,cy,depth_m,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
3630.479,18,95,469.750,278.500,0.000,451.000,259.000,489.000,260.000,488.000,298.000,451.000,297.000
3832.548,19,95,473.750,255.500,0.000,455.000,237.000,492.000,237.000,493.000,274.000,455.000,274.000
4030.656,20,95,479.500,261.000,0.000,460.000,243.000,497.000,241.000,500.000,279.000,461.000,281.000
4232.116,21,95,477.000,260.500,0.000,457.000,243.000,495.000,241.000,497.000,278.000,459.000,280.000
4432.839,22,95,477.000,262.500,0.000,457.000,245.000,495.000,243.000,497.000,280.000,459.000,282.000
4632.781,23,95,477.000,264.000,0.000,457.000,246.000,495.000,244.000,497.000,282.000,459.000,284.000
4833.264,24,95,471.000,269.750,0.000,451.000,252.000,489.000,250.000,491.000,288.000,453.000,289.000
5032.863,25,95,457.500,272.750,0.000,439.000,254.000,474.000,255.000,476.000,292.000,441.000,290.000
5231.724,26,95,447.000,271.000,0.000,433.000,251.000,462.000,255.000,462.000,292.000,431.000,286.000
5431.453,27,95,440.000,266.750,0.000,428.000,246.000,454.000,252.000,452.000,289.000,426.000,280.000
5631.778,28,95,441.000,268.000,0.000,429.000,247.000,455.000,253.000,453.000,290.000,427.000,282.000
5832.028,29,95,451.000,269.250,0.000,435.000,249.000,468.000,253.000,467.000,290.000,434.000,285.000
6033.585,30,95,465.250,274.500,0.000,444.000,257.000,483.000,254.000,486.000,292.000,448.000,295.000
6234.211,31,95,472.250,278.500,0.000,449.000,264.000,488.000,256.000,495.000,293.000,457.000,301.000
6432.261,32,95,482.500,279.750,0.000,460.000,266.000,496.000,256.000,505.000,293.000,469.000,304.000
6632.489,33,95,495.250,278.250,0.000,474.000,267.000,505.000,253.000,516.000,289.000,486.000,304.000
6832.940,34,95,505.250,273.000,0.000,486.000,263.000,511.000,248.000,524.000,282.000,500.000,299.000
7034.819,35,94,473.000,286.000,0.000,495.000,301.000,467.000,306.000,452.000,272.000,478.000,265.000
7034.819,35,95,511.500,266.750,0.000,494.000,256.000,514.000,242.000,528.000,277.000,510.000,292.000
7234.829,36,94,480.250,281.250,0.000,504.000,295.000,472.000,303.000,457.000,268.000,488.000,259.000
7234.829,36,95,516.250,261.250,0.000,502.000,250.000,515.000,239.000,530.000,271.000,518.000,285.000
7434.796,37,94,476.500,280.750,0.000,500.000,296.000,468.000,302.000,454.000,267.000,484.000,258.000
7434.796,37,95,514.750,263.250,0.000,500.000,250.000,516.000,241.000,529.000,275.000,514.000,287.000
7633.049,38,94,477.000,282.250,0.000,500.000,298.000,468.000,303.000,455.000,268.000,485.000,260.000
7633.049,38,95,515.500,264.750,0.000,501.000,252.000,517.000,241.000,529.000,277.000,515.000,289.000
7833.166,39,94,473.250,286.250,0.000,495.000,302.000,465.000,306.000,452.000,271.000,481.000,266.000
